,IAPF,IAPF,IAPF,Baseline Fatigue score,Baseline Fatigue score,Baseline Fatigue score,Fatigue score,Fatigue score,Fatigue score,Baseline Alpha Gravity,Baseline Alpha Gravity,Baseline Alpha Gravity,Alpha Gravity,Alpha Gravity,Alpha Gravity,Baseline Concentration index,Baseline Concentration index,Baseline Concentration index,Concentration index,Concentration index,Concentration index,Baseline Relaxation index,Baseline Relaxation index,Baseline Relaxation index,Relaxation index,Relaxation index,Relaxation index,Theta peak frequency,Theta peak frequency,Theta peak frequency,Alpha peak frequency,Alpha peak frequency,Alpha peak frequency,Beta peak frequency,Beta peak frequency,Beta peak frequency,Chill,Chill,Chill,Stress,Stress,Stress,Focus,Focus,Focus,Anger,Anger,Anger,Self-control,Self-control,Self-control
,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant,Before Chant,During Chant,After Chant
count,161.0,279.0,148.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,242.0,336.0,194.0,136.0,253.0,125.0,136.0,253.0,125.0,136.0,253.0,125.0,136.0,253.0,125.0,136.0,253.0,125.0
mean,9.781987598964141,9.732616472415165,9.38986495378856,3.9568026376054437,4.36110283562297,3.975601592982553,131.50495536102667,3.7515867882658656,3.2952715793868603,0.7080233681825571,1.0102588213889805,2.9049702636891683,0.6505402124742611,0.8985646634686881,2.4970809905217477,0.629957607272512,0.5844153888316386,0.5695448384688043,0.5606747700488278,0.38963000400974257,0.3913667171642438,2.2238897862188094,2.7733722310680613,2.503409630118503,2.3811467959346357,2.5530636831713687,1.9698566480711674,3.65807517387476,4.374556444608632,4.154471010748931,6.026860422571102,7.7938958094963695,7.1030000695993305,12.706238393452942,15.145312193338587,14.336153720380203,46.13244464055388,66.3039605549805,56.205328176703055,51.27906342343797,34.8499340948245,45.50154572560455,51.696495722515635,41.66347078338022,46.736756943128725,48.915375102695414,41.001528504905814,43.137162632510936,49.121028926101076,65.16442070006129,58.91260702847986
std,1.06781834346977,0.8712290986474247,1.390186295327437,6.409573184925347,4.249902016026776,4.87524966029944,1262.9050793956305,3.4097694421384985,3.934288496628808,1.1059866483738325,1.0370361529236747,6.72174479383709,1.7069782319218225,0.8054684761582549,6.1209956041093045,1.0675182966671448,0.5548283283256331,0.7794307637657686,0.8442336185036916,0.3893348583610803,0.5765145765036168,5.303663472141466,3.512385617915655,3.758487468765421,9.892040621039056,2.771617660131107,2.712729026387957,2.235675787277657,1.6632134574926583,1.9742386727876244,3.7324145802055533,3.048526759154305,3.465148065320839,7.821709724844399,5.701655237156307,6.876392851188032,18.421589855521095,16.456874579192597,19.166029704972033,18.454142053470544,16.05355985597827,19.857996196728646,19.074890453866125,20.5213922080912,22.44764252321501,20.978398036738245,15.655323470712661,18.00851375308985,20.78384120606303,16.539208869502637,19.017215852324124
min,7.69999980926514,8.60000038146973,7.19999980926514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22761884812425,16.3660817879897,20.6632053210185,3.01954607118444,2.1308046525977,3.76652340731984,7.01290755086164,2.68694208324549,6.33309159420435,6.50143272805243,13.7666545674421,7.69627820132167,2.3817576509155,21.3108637974812,21.9832846323649
25%,9.39999961853027,8.89999961853027,8.30000019073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15003640779004124,4.587769235978939,4.4762899534771545,0.27153851812908525,7.59443138515705,7.101011259623553,0.788237237644302,15.8442798710093,15.370040622938749,34.537611337623204,52.3644967512651,42.6101597232152,40.7121613528019,22.3415649734473,30.3796766412775,39.54258124564975,26.7835556499874,30.6232452362109,34.0035347027771,27.800049188402,28.7754636224826,35.03129134515315,52.1403578308105,43.2958338904002
50%,9.69999980926514,9.5,9.60000038146973,2.272454696704645,3.59467673301697,1.972323179245,0.8593296781310951,3.360698528103385,2.2830790240690098,0.14308479764652499,0.771429598331451,0.541171647985315,0.13493482350810998,0.7271737214687994,0.42205338553639304,0.208150878548622,0.508997023105621,0.295421242713928,0.2469943346612795,0.3192034382114895,0.2501442113294795,0.549890398979187,1.66955125331879,1.39087522029877,0.4458436220504085,1.8636239757545598,0.934008961432305,4.84243472982998,4.900600306671155,4.9748919739623005,7.550937509652465,8.601784840742503,8.062426087655219,16.4359538774521,16.756381009045903,16.5889455368069,45.8589568634004,65.9353851417765,50.6228507105066,53.57258150991975,33.2186621128025,46.0988576680469,50.691625092549,39.8996918954756,45.6284032185872,48.1907593184321,39.9221802256466,41.165989507543,47.76324773950765,66.2982065881781,57.9632700997185
75%,10.0,10.6000003814697,10.3000001907349,4.38278532028198,6.86518001556396,6.59537363052368,3.2079096391611728,5.44965691391591,5.0465341474713,1.30499148368835,1.56145870685577,1.33836483955383,0.8893738329255975,1.5276454264617725,1.1783693789088376,0.834419548511505,0.7866705931404315,0.796626627445221,0.8244884507802578,0.5684990854627905,0.6085119884785269,2.120125830173495,3.5713415145874,3.168781042099,1.6214613818319275,3.73654351277648,2.9858865935282477,5.15273347719158,5.1768678989164325,5.293926383717936,8.582587190126361,9.541385154147775,9.423515112835286,17.738460422277427,18.027987433734552,18.259239771768474,57.1809955107283,79.2186125727712,71.065479489394,62.696088754566176,46.6558280036563,59.2754726593901,63.307309916029574,56.2470778406754,61.0136947945545,62.8718365703148,52.6463427488102,55.0805511294245,63.83179737039133,78.1502023415487,74.9364982234373
max,12.6999998092651,11.3000001907349,12.1000003814697,29.2507991790771,17.7823925018311,15.6798810958862,17336.8078128812,15.5371762562105,15.6294155626494,5.4349045753479,4.20628118515015,29.9587116241455,23.2526343875258,4.36508725853054,39.2933244655063,6.7143816947937,1.80793583393097,2.78544020652771,5.25732702709416,1.80691896585682,4.46989842773631,29.0023994445801,15.92493724823,15.2221155166626,113.637749405403,13.2339020553688,12.5308835142755,6.46620874959611,6.29440201081482,6.1893715848691,11.6292870094438,11.5146098702576,11.977126346055,23.8175792123776,21.9168879707947,24.0999966839295,93.4756208982981,97.6771934093573,95.8506558859618,94.7246992145101,93.6339189822857,83.6801876086367,93.1278927607167,92.0293203852141,98.5377279192831,97.5696154507724,85.436250264828,87.8812155024211,93.9226881341089,94.9772064233715,95.3229224881478
