DURING,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
ID-004,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.1999998092651,5.07051507870482,10.2965609989982,15.2498653089339,1.7460640668869,1.22142291470771,5.42439842224121,4.10493420852349,0.552143931388855,0.509520704216085,5.0449047088623,3.34262255836873,56.9934403832099,31.7587193006948,33.8388339555018,52.9017270627755,51.1772655662379,,,,,,,,,,
,10.1999998092651,4.95640349808373,10.1722832618031,15.3360379783715,1.7460640668869,1.17146869304248,5.42439842224121,4.90611791633733,0.552143931388855,0.260811926140744,5.0449047088623,4.24734261098541,66.6741453363926,24.6662411689758,26.5317506307288,51.201734941217,58.7663713708709,,,,,,,,,,
,10.1999998092651,4.72873734789558,10.0494730844527,15.8393323316906,1.7460640668869,0.831703841587219,5.42439842224121,7.57080671442087,0.552143931388855,0.177126467524543,5.0449047088623,6.97909435689826,84.0197539872761,16.8777414786665,19.1857312691363,35.9802482641196,73.8491224940819,,,,,,,,,,
,10.1999998092651,5.75792382259217,10.2001222772901,16.1894460850822,1.7460640668869,1.14054867723205,5.42439842224121,5.41463076883274,0.552143931388855,0.334575384910379,5.0449047088623,4.91400278621251,76.8850365532769,15.7079999000307,25.9012216567993,43.1149659716894,66.6957425677587,,,,,,,,,,
,10.1999998092651,5.18033861745006,10.0270047795621,15.8796044171762,1.7460640668869,0.896508166367965,5.42439842224121,7.07442591829959,0.552143931388855,0.228394994565602,5.0449047088623,6.53325388072226,86.9450259631193,12.5202378200579,20.9999674618999,30.3621218385576,79.5386494020872,,,,,,,,,,
,10.1999998092651,5.25841772286198,10.0213417832459,15.6369953118095,1.7460640668869,0.932211181557251,5.42439842224121,6.14792659249867,0.552143931388855,0.210961826327432,5.0449047088623,5.4948148991828,78.0873266775397,14.6224425638778,20.6254908691479,36.9147561954547,73.0790312441089,,,,,,,,,,
,10.1999998092651,5.79377340780007,9.80961811044513,16.485572000283,1.7460640668869,0.780050253469003,5.42439842224121,7.18465786406245,0.552143931388855,0.253020649630097,5.0449047088623,6.62945989958271,78.903384019758,13.0364208085412,22.9717844571629,40.4395708183857,69.4583308043079,,,,,,,,,,
,10.1999998092651,5.19973417362834,10.1568180913412,15.6467515951773,1.7460640668869,0.963450055110109,5.42439842224121,3.95672003980117,0.552143931388855,0.371635937569721,5.0449047088623,3.3751541655624,73.2685908909085,23.8240628604647,39.0095912112465,45.7898575384406,64.171553153026,,,,,,,,,,
,10.1999998092651,5.30671841594237,9.97337183984014,16.2899256317676,1.7460640668869,0.797269062546512,5.42439842224121,8.78880564911651,0.552143931388855,0.199434531148215,5.0449047088623,8.07690530607502,84.9369144439697,16.4342325193973,19.7282486320296,34.7902406740792,74.9809614978259,,,,,,,,,,
,10.1999998092651,5.79060639678865,10.1077523488771,15.8369206188595,1.7460640668869,1.10265667848785,5.42439842224121,5.63811375461878,0.552143931388855,0.273736784231567,5.0449047088623,5.0583166797587,89.2289296649751,9.87800653150586,13.1477764538356,22.3459394061376,87.6194458976624,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-005,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.6000003814697,4.56042280815592,7.04854361740533,17.3860134919218,0.439581096172333,0.432183233233504,7.23045921325684,6.77069922597214,0.7549968957901,0.505886315504381,2.48017907142639,2.02296145182528,47.2117526547221,62.7573921984474,53.3482939380927,24.4850212359588,54.8554969313961,,,,,,,,,,
,10.6000003814697,4.21414622303617,7.50962687397002,16.7555950608454,0.439581096172333,0.474870129862751,7.23045921325684,6.2796340013031,0.7549968957901,0.562230359259279,2.48017907142639,1.96889590211274,53.6820250182593,56.3141878464643,48.7653937972894,22.5868116811544,77.5531632367302,,,,,,,,,,
,10.6000003814697,4.2882060831624,7.71701857691679,18.7719425062232,0.439581096172333,0.388060013755298,7.23045921325684,5.6953635740723,0.7549968957901,0.68253946662705,2.48017907142639,1.63262831434506,44.9412427915109,65.056865988551,68.4460856334583,23.9664277740427,77.3324132738887,,,,,,,,,,
,10.6000003814697,4.51497347498019,8.16768495735245,18.5332354597469,0.439581096172333,0.366126189528164,7.23045921325684,5.08891256755856,0.7549968957901,0.517676292803162,2.48017907142639,2.06676123765174,64.8384260554021,45.1615770760658,48.2692498417438,17.2669390177055,92.5580997625196,,,,,,,,,,
,10.6000003814697,4.26969062641711,8.43401841490564,17.9684364721528,0.439581096172333,0.530830708434647,7.23045921325684,4.60341022512983,0.7549968957901,0.70277826366467,2.48017907142639,1.60534175542584,61.3028174244042,48.6971850124091,63.5214362702641,20.923636165351,87.8254738874659,,,,,,,,,,
,10.6000003814697,4.50173257648745,7.96567442637346,16.8201926870283,0.439581096172333,0.517583373347637,7.23045921325684,4.51648893345233,0.7549968957901,0.599398552604594,2.48017907142639,1.7705586657928,69.8514464242118,40.1485555338305,63.4065420334521,17.846399172596,92.1240860441594,,,,,,,,,,
,10.6000003814697,4.37382420277317,7.89601821322145,18.2128739863566,0.439581096172333,0.442101142021701,7.23045921325684,3.43143856942553,0.7549968957901,0.783979005769122,2.48017907142639,1.35994464901252,64.2307873562991,45.7692152880515,81.3667060826746,35.6318035188994,74.3555619348934,,,,,,,,,,
,10.6000003814697,4.4832491584632,8.06832890942243,17.3658006796093,0.439581096172333,0.596999381730375,7.23045921325684,2.82233752176807,0.7549968957901,0.865787065255885,2.48017907142639,1.25475652636384,58.0971439526327,51.862214528841,58.8051936761089,53.6017609276249,56.3576584052406,,,,,,,,,,
,10.6000003814697,4.38912240456561,8.21020239277755,16.4454132343799,0.439581096172333,0.551340828788574,7.23045921325684,4.22181559881384,0.7549968957901,0.641515873991415,2.48017907142639,1.69331256016885,66.8965083920226,43.1034932558228,34.5006597123178,34.0290960487054,75.9709061278778,,,,,,,,,,
,10.6000003814697,4.73453119618091,8.13799154780959,16.1670607044806,0.439581096172333,0.536836826166806,7.23045921325684,4.47925651801978,0.7549968957901,0.614377757006819,2.48017907142639,1.75994179570151,69.6850466157292,40.3149544971588,26.7835556499874,24.0802230143426,85.7526123021143,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.8999996185303,4.896985020098,11.1227070098629,15.7529966489726,0.771429598331451,0.737531785747276,1.47085928916931,1.05661043845773,1.55466711521149,1.63770696717272,0.902741014957428,0.653285428495359,36.4063624161452,34.6973691613424,92.0293203852141,52.6463427488102,36.4063624161452,,,,,,,,,,
,10.8999996185303,5.0162666975975,9.88457661823428,16.4461100708486,0.771429598331451,0.60384651595056,1.47085928916931,1.06309266752302,1.55466711521149,1.55242200848162,0.902741014957428,0.673987779580557,45.1157358105977,33.3890377807617,90.4722001647949,64.3057656224569,43.2792300415039,,,,,,,,,,
,10.8999996185303,4.88526532742514,9.96501654656566,15.9780895044319,0.771429598331451,0.57717551242653,1.47085928916931,0.980593412058856,1.55466711521149,1.80691896585682,0.902741014957428,0.613160609050377,46.5997877421466,35.861725954274,83.4131282977204,71.9141606383063,38.0235705810598,,,,,,,,,,
,10.8999996185303,4.902053405343,10.8169531365667,15.505572611422,0.771429598331451,0.610569889752913,1.47085928916931,1.24413040226807,1.55466711521149,1.42835239687427,0.902741014957428,0.762045477156054,63.3928036060875,41.7887627947112,56.591549282679,55.4456554852264,54.1605308800189,,,,,,,,,,
,10.8999996185303,5.30724834111532,11.2158448350986,15.8449950718086,0.771429598331451,0.624859647054226,1.47085928916931,0.949372726185118,1.55466711521149,1.76619067949056,0.902741014957428,0.617903439239168,51.1606043052673,40.2000540606181,65.6035900815328,68.1920949808757,41.692724088033,,,,,,,,,,
,10.8999996185303,5.11484333360197,10.9600431770563,16.3926017745972,0.771429598331451,0.648460792469233,1.47085928916931,1.22315596921543,1.55466711521149,1.38885086994171,0.902741014957428,0.780938676916066,59.8609696515401,43.6165983963013,66.22152024587,60.117551835378,49.7165168253581,,,,,,,,,,
,10.8999996185303,5.07035382545667,10.4257540871297,17.6696030304836,0.771429598331451,0.73143761203386,1.47085928916931,1.9153306057158,1.55466711521149,1.2654331660132,0.902741014957428,0.914849743075251,70.1207887960035,39.4958039660786,62.4966373190135,43.4356159641101,66.2247705618012,,,,,,,,,,
