AFTER,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
ID-001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.3000001907349,5.51161478533983,10.1315361041318,18.5405120553249,1.24139714241028,0.687529711660302,1.972323179245,2.81028689543279,2.78544020652771,0.688318217269253,1.39087522029877,2.46992982208394,79.7842924996708,28.6485613858145,38.9611681024297,34.6404816457586,75.0280479443399,,,,,,,,,,
,10.3000001907349,5.46942497782052,9.71827321765518,19.1016405533981,1.24139714241028,0.484308147085978,1.972323179245,2.77579667352735,2.78544020652771,0.727058693252196,1.39087522029877,2.44656429446258,90.1197509156248,15.4265006175056,30.6232452362109,25.7079692237293,81.6116850002886,,,,,,,,,,
,10.3000001907349,5.19592422035433,9.986848356493,19.2361080702503,1.24139714241028,0.644873447358607,1.972323179245,2.96768003898859,2.78544020652771,0.934836336646829,1.39087522029877,2.31855598130967,87.8070685848113,18.9541420105965,33.9172651475476,24.6700756472926,82.6917538550592,,,,,,,,,,
,10.3000001907349,5.31318681743026,9.53747337938693,17.7730450362666,1.24139714241028,0.422220602245001,1.972323179245,3.8188743715365,2.78544020652771,0.663136132865569,1.39087522029877,2.75604829864322,87.928527119463,20.5922080545226,30.6945688091038,18.6262102234575,90.8215494570525,,,,,,,,,,
,10.3000001907349,5.43751526946622,9.19079123830717,19.9429084749358,1.24139714241028,0.507261159626906,1.972323179245,2.52602288603018,2.78544020652771,0.979544805984101,1.39087522029877,2.01582925849943,76.7269521746934,30.3796766412775,37.2404952868221,32.5228309355808,68.3165755172411,,,,,,,,,,
,10.3000001907349,5.33241544649029,10.0978454572336,19.3088066576988,1.24139714241028,0.705921703456582,1.972323179245,3.26478168728943,2.78544020652771,0.708824730325437,1.39087522029877,2.81078372095038,79.3694881125925,28.3213910334736,38.1945453219944,38.1521503737199,69.5796527893263,,,,,,,,,,
,10.3000001907349,5.22404675577382,9.64817070496442,20.1132366188558,1.24139714241028,0.661849108837939,1.972323179245,2.96294053016942,2.78544020652771,0.683044422585367,1.39087522029877,2.2739667160154,79.5368939336755,28.7175843182009,36.420167081406,37.2259241801337,69.9979515628538,,,,,,,,,,
,10.3000001907349,4.89785533074923,9.28115108938016,17.5790190138914,1.24139714241028,0.665675167276483,1.972323179245,2.63162239604516,2.78544020652771,0.710133772865767,1.39087522029877,2.00326814462726,76.6154350802326,32.9414500159186,42.9058328273755,40.5718291302364,68.1085148797695,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.5,4.94857140990666,10.8031041825959,16.2015462773908,0.578008779357461,0.91066652675136,2.52893721075619,2.76246925328558,0.683293851183242,0.427991810633605,1.68637350547214,1.86013731307543,67.2339772853202,37.6574658793295,44.3870462176795,49.3922956157065,60.4830192841127,,,,,,,,,,
,10.5,4.98711185075604,9.44657429827274,17.6578464088855,0.68920886516571,0.731499824141076,3.01546621322632,4.29298701556775,0.814749181270599,0.383116922678306,2.0108060836792,2.99964598522163,84.8236367634819,24.9627854931534,27.4357000073925,31.6259792022196,78.183225418371,,,,,,,,,,
,10.5,5.56378259279386,9.13233442313587,15.8590444552566,0.68920886516571,0.443479516726769,3.01546621322632,4.23730956178323,0.814749181270599,0.397594084201943,2.0108060836792,3.34749857862267,91.0348626754233,15.422093089762,22.137006370004,22.009762591153,87.5592083624599,,,,,,,,,,
,10.5,5.02122473300541,9.42575085387409,17.6350819580232,0.68920886516571,0.602069324036278,3.01546621322632,2.5844979452173,0.814749181270599,0.684351975381739,2.0108060836792,1.5977987594347,50.6228507105066,40.1890839367378,47.7023991574809,38.9010777257461,71.0955645331938,,,,,,,,,,
,10.5,5.19128216136875,10.280873069803,16.1984808584924,0.68920886516571,0.856927027454562,3.01546621322632,3.04343647240994,0.814749181270599,0.623869277833898,2.0108060836792,1.88481486833155,35.8672873508154,55.1298398891952,58.2232478337614,44.2859568587926,65.700008723493,,,,,,,,,,
,10.5,5.41580068400557,9.79230150517503,16.9389898939628,0.68920886516571,0.632046133137531,3.01546621322632,3.09581059752196,0.814749181270599,0.512525460586278,2.0108060836792,2.17801161576455,42.0102586410752,47.2845158025847,45.7098315764512,35.0635039682564,74.9364982234373,,,,,,,,,,
,10.5,4.87218470647211,9.67235442334521,16.3734609812549,0.68920886516571,0.723448682790391,3.01546621322632,2.38095454322715,0.814749181270599,0.681143268995398,2.0108060836792,1.71075008782888,42.6101597232152,42.0740670412035,65.4404802941245,53.0587824093125,56.9412197297107,,,,,,,,,,
,10.5,4.81125673288467,9.37033896586236,17.3148490287955,0.68920886516571,0.593428779237676,3.01546621322632,3.30189238615283,0.814749181270599,0.65019913171287,2.0108060836792,1.77896089876857,45.1432641816619,56.5795773691779,72.5938039434036,46.0525756682326,63.9448131074841,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.60000038146973,4.98573729945596,7.82381050875228,16.2553869565428,0.772667586803436,0.672354347919628,8.77124309539795,8.387837869244,0.404064834117889,0.348763473187426,3.59527921676636,3.26951375689667,55.3777761702325,52.9890043598831,42.3652517172941,36.4644011297044,63.5751059526091,,,,,,,,,,
,9.60000038146973,4.97731854629971,8.0114691383827,16.4271458876377,0.772667586803436,0.735521157327712,8.77124309539795,9.77810328200197,0.404064834117889,0.30032692695996,3.59527921676636,3.86482505391405,59.4240623510394,50.5758603575113,31.6909505508592,25.3278677769584,78.7347284187039,,,,,,,,,,
,9.60000038146973,4.6280585477171,7.59689241165598,15.9160063660446,0.772667586803436,0.655580106855756,8.77124309539795,8.19226432435121,0.404064834117889,0.337386095065955,3.59527921676636,3.13364043603782,63.5593345859383,46.4406678948221,29.4202083364318,17.815282491189,90.8106351200538,,,,,,,,,,
,9.60000038146973,5.13968149329516,7.30919333627973,17.0370777539859,0.772667586803436,0.512392587374581,8.77124309539795,9.53527947350273,0.404064834117889,0.34256758490852,3.59527921676636,3.36774234159436,63.7468356451406,46.0988576680469,32.9182927211755,19.5436466189836,78.5788964877605,,,,,,,,,,
,9.60000038146973,4.86532964528835,7.90227257513203,17.5230158437526,0.772667586803436,0.59532188418786,8.77124309539795,10.778321712274,0.404064834117889,0.25339956517454,3.59527921676636,4.48713576414128,79.0475102347542,30.9524928635538,12.1907509527569,25.8254361915891,82.324906205602,,,,,,,,,,
,9.60000038146973,4.93867668546323,7.10880349692749,16.188232992961,0.772667586803436,0.501550265541638,8.77124309539795,14.2283389146959,0.404064834117889,0.241282650917747,3.59527921676636,4.7897892992678,82.8118626372372,27.1881374836724,10.2637177134987,7.69627820132167,91.0208683648691,,,,,,,,,,
,9.60000038146973,5.09010017244159,7.11790620242843,15.3873116110844,0.772667586803436,0.421886168827785,8.77124309539795,15.6294155626494,0.404064834117889,0.247247242570896,3.59527921676636,4.62382049443424,82.854270377106,27.1457296228939,41.1004962375319,8.22966411269147,62.0624961125263,,,,,,,,,,
,9.60000038146973,4.79903811142179,7.21853016595988,15.9692126489062,0.772667586803436,0.477472583508206,8.77124309539795,13.8949138551629,0.404064834117889,0.263117720173821,3.59527921676636,4.40783980278365,83.8104727245512,26.1733921989562,44.5668481312101,22.2949702111502,54.4502702682737,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-008,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.8000001907349,5.5044984222892,9.06875159736676,18.4045253768904,0.530966818332672,0.461210761010127,2.7398726940155,2.50586660941758,0.924139678478241,0.805615527339848,1.54379463195801,1.31242942844011,57.8816669379609,41.0308758578723,51.4423955180977,53.236406947993,54.8933996550644,,,,,,,,,,
,10.8000001907349,4.60543987362446,8.68306165941154,18.8053717604168,0.530966818332672,0.393867606898132,2.7398726940155,2.57641915128438,0.924139678478241,0.989998333491388,1.54379463195801,1.21421943004137,58.6352946486654,50.2184116568746,57.1791050947165,51.9677426422699,57.7187815798989,,,,,,,,,,
,10.8000001907349,5.51810951889886,9.51770161433446,18.2655746408192,0.530966818332672,0.418064085967956,2.7398726940155,2.42749252013935,0.924139678478241,0.736675746700122,1.54379463195801,1.49715588679011,69.7224693540543,40.0637122441852,59.600653808836,47.8621569618346,62.1007634238591,,,,,,,,,,
