DURING,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
ID-001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.6999998092651,5.12565281747439,8.90146246832265,18.5599696362304,0.523900330066681,0.477746793778896,2.20710253715515,1.44049137144756,1.80793583393097,1.72319193085957,1.09044444561005,0.822109569964414,36.3854828063965,37.6991924072266,73.9336562988281,74.0704943603516,33.6720144500732,,,,,,,,,,
,10.6999998092651,5.58845014649357,9.20224906846713,18.1191441662879,0.523900330066681,0.406748853827233,2.20710253715515,1.63174650904653,1.80793583393097,1.2479741045769,1.09044444561005,0.945188296938393,39.5025721852041,31.812906356893,67.9740678916198,79.6250874801038,29.8286689846541,,,,,,,,,,
,10.6999998092651,4.75318074345591,9.64408604688731,20.008891790348,0.523900330066681,0.414218890492527,2.20710253715515,1.81577952786374,1.80793583393097,1.22979885756416,1.09044444561005,1.1168938960281,46.7726362009306,30.9691807031631,63.5172414715226,70.8829673689765,37.7691752975052,,,,,,,,,,
,10.6999998092651,4.53846392247308,8.81619743155046,17.3564799323165,0.523900330066681,0.409210210292574,2.20710253715515,3.05737528748536,1.80793583393097,0.923081836705704,1.09044444561005,1.53595173155707,64.9326786635201,44.9020171647661,57.6829499723823,45.3774502602664,63.8117679761271,,,,,,,,,,
,10.6999998092651,4.43577776342969,9.69620609086868,17.7171288319984,0.523900330066681,0.224238669330107,2.20710253715515,5.79121324218605,1.80793583393097,0.335403717329876,1.09044444561005,3.757408978654,91.3766229847587,18.1813509260783,21.1793287994397,13.7666545674421,94.6499038917431,,,,,,,,,,
,10.6999998092651,4.76818294152856,9.48841957964724,16.9235804703558,0.523900330066681,0.152510110670906,2.20710253715515,5.63411717506238,1.80793583393097,0.285075389343415,1.09044444561005,4.12370539146832,91.0295057447175,13.7954649850021,2.68694208324549,26.560455917936,82.7775869519929,,,,,,,,,,
,10.6999998092651,4.65560130025023,9.28065072821648,17.7604003096006,0.523900330066681,0.391789970213051,2.20710253715515,3.34694522641967,1.80793583393097,0.885464407035302,1.09044444561005,2.36593548978774,68.0307114401883,31.8375003242797,35.067713008543,51.5671132983583,57.6082648622552,,,,,,,,,,
,10.6999998092651,5.05899682504303,9.52032434469585,18.3680206793184,0.523900330066681,0.356662827716134,2.20710253715515,2.98769885367098,1.80793583393097,0.755848784413634,1.09044444561005,2.32661464555434,43.4240278481675,41.0081145496795,64.7291438983271,76.5759740591811,33.1489132677023,,,,,,,,,,
,10.6999998092651,4.78117222217094,9.74968099946974,17.9081147746796,0.523900330066681,0.164702025330855,2.20710253715515,4.88015186914417,1.80793583393097,0.269482877667541,1.09044444561005,3.98289029924875,66.3905842612235,12.2210945596345,29.0940569842641,53.6094186834551,55.908286543364,,,,,,,,,,
,10.6999998092651,5.58147261671869,9.74279347767354,17.360283916058,0.523900330066681,0.147505992933927,2.20710253715515,4.93052368456318,1.80793583393097,0.267976182169737,1.09044444561005,3.90530755992477,92.4136019183743,6.44772718237458,11.0495971475878,27.4755036261774,82.2422137598838,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.19999980926514,5.51379465615809,7.7758731115322,15.9274189582053,1.29102039337158,1.18695595191198,6.13920593261719,4.21816078988062,0.58775794506073,0.487801377230227,2.47634315490723,2.18533641555672,48.0066059793972,32.9956859817887,52.67770239268,65.3795473611414,43.8959819940175,,,,,,,,,,
,9.19999980926514,5.31885689746521,7.96470880429079,15.7274792512839,1.29102039337158,1.34041601700315,6.13920593261719,4.31731182341965,0.58775794506073,0.519699111098607,2.47634315490723,2.06135859507888,50.4209911136976,34.4957182308203,50.5721342432717,58.2765164557789,47.3888225523684,,,,,,,,,,
,9.19999980926514,4.87413165507316,8.2691499629895,16.4191667752265,1.29102039337158,1.31156489166319,6.13920593261719,4.1979746059696,0.58775794506073,0.485637556759517,2.47634315490723,2.16497909216285,59.6903948465983,37.0515729777018,49.6624648221334,56.0464003626506,52.8690634028117,,,,,,,,,,
,9.19999980926514,4.69402529513856,7.88455142662056,16.3249763537658,1.29102039337158,1.17456637505737,6.13920593261719,5.44088637072965,0.58775794506073,0.405290514816976,2.47634315490723,2.81205657755545,78.5014954578213,31.4860829068678,34.5831828254069,32.255562134175,77.2198732771721,,,,,,,,,,
,9.19999980926514,5.77078273981167,7.81863847579924,15.7362288918185,1.29102039337158,1.20382001779665,6.13920593261719,4.19459769238288,0.58775794506073,0.467335270949661,2.47634315490723,2.23677446597055,83.1052562783211,26.8698216243763,41.1830896089721,35.8362518740728,74.1477885459786,,,,,,,,,,
,9.19999980926514,5.00811000693639,8.4657849929094,15.3405333468436,1.29102039337158,1.49117687933346,6.13920593261719,5.03860214333138,0.58775794506073,0.419499362280966,2.47634315490723,2.50847439566057,87.7425806935628,22.2574205160141,36.8818140029907,18.494882774353,90.8530695470174,,,,,,,,,,
,9.19999980926514,4.45294370592036,8.76683443047348,15.6285828398078,1.29102039337158,1.86855626547277,6.13920593261719,4.9233577911467,0.58775794506073,0.469863687328846,2.47634315490723,2.24866388662565,79.8604545593262,30.1304857557183,50.7593644817933,21.4505696490111,83.8788712356264,,,,,,,,,,
,9.19999980926514,5.02150336674054,7.48736165383652,15.6651150024254,1.29102039337158,1.16511159189144,6.13920593261719,5.32836685955923,0.58775794506073,0.484484561068317,2.47634315490723,2.17633050787251,75.0045223363241,34.9954795869191,56.8499785550435,26.0586055723826,80.3530723063151,,,,,,,,,,
,9.19999980926514,4.87487021805641,9.57187849356605,16.5287071854183,1.29102039337158,1.76242951692538,6.13920593261719,4.35073616537596,0.58775794506073,0.467163871893173,2.47634315490723,2.3363662089296,82.7955790565732,27.1661124459519,36.1267183624369,35.0558349272971,74.9058557849954,,,,,,,,,,
,9.19999980926514,4.82814310695883,8.57582864201208,16.143665603663,1.29102039337158,1.77588490322207,6.13920593261719,4.4408398664097,0.58775794506073,0.514253302387112,2.47634315490723,2.46430872435281,76.69494749504,33.2186621128025,49.1602607828607,42.2279265113361,67.3472740757287,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.60000038146973,4.75449762574116,9.4168325125889,17.4732085020509,0.661803934058119,0.487284804945118,6.43093280129335,5.07428577643057,0.144570157967661,0.10155235152521,5.39582804669324,4.22950534448428,48.2123103153676,51.2171717141929,55.8940627271695,59.8885010793025,47.4448988289013,,,,,,,,,,
,9.60000038146973,4.94617906358087,9.47404597997289,15.7985515392867,1.04469299316406,0.744474304226323,10.151572227478,6.86545173788219,0.228211745619774,0.211038732895667,8.51760387420654,5.44178596870078,42.5761836092748,42.3901472741564,44.6992979397298,61.2167323999662,42.2717903608754,,,,,,,,,,
,9.60000038146973,5.01174124606451,9.49566989727625,15.9919857442796,1.04469299316406,0.908239174602991,10.151572227478,5.98559369482688,0.228211745619774,0.269961386811995,8.51760387420654,4.41012864843436,40.1968498472183,46.6558280036563,41.8064739348396,60.9818668002174,40.1088082147023,,,,,,,,,,
,9.60000038146973,5.4985895731181,9.401613287699,16.0926450627051,1.04469299316406,0.775203661594163,10.151572227478,6.60952219375904,0.228211745619774,0.232170605376813,8.51760387420654,5.12911602978093,49.4430566657742,36.1386949294343,24.1951676986864,61.632806593567,45.272428503505,,,,,,,,,,
,9.60000038146973,5.0587579325332,9.51780542485321,15.9900838207294,1.04469299316406,0.964991395808751,10.151572227478,6.36115318387367,0.228211745619774,0.238019814324815,8.51760387420654,4.51238960878381,57.7333402211153,46.8732028430021,17.3646644202969,52.5520408002636,52.3651272315013,,,,,,,,,,
,9.60000038146973,5.12628733158868,9.55684281695077,16.0772920354359,1.04469299316406,0.99766534616644,10.151572227478,7.06379849410054,0.228211745619774,0.202476846869978,8.51760387420654,5.34278274323827,71.2714770180838,27.1525227955409,9.28141706667338,46.4491092500232,62.0245097145202,,,,,,,,,,
,9.60000038146973,4.98470884396305,9.60929906904694,16.4160380428652,1.04469299316406,1.05126027398565,10.151572227478,5.91123345498794,0.228211745619774,0.25497650736165,8.51760387420654,4.05666613930387,71.0581195445,38.4209185370916,40.4885195237172,39.5540072706681,70.1201249013973,,,,,,,,,,
