BEFORE,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
ID-001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.60000038146973,5.46733601903534,9.62370238680265,20.0008767913819,1.46082675457001,1.65542990815353,2.79500389099121,0.87434937831092,2.91350865364075,3.15997944948386,1.3492751121521,0.612622871208671,34.5971702941895,42.8477480529785,55.6441612976074,66.3882572143555,35.4646439239502,,,,,,,,,,
,9.60000038146973,4.84092637776947,9.93484328304286,19.1722592925263,1.46082675457001,1.93884415946674,2.79500389099121,1.07814058629108,2.91350865364075,1.77351884010409,1.3492751121521,0.828447233188038,36.1435080688477,29.3793446990967,53.4186589660645,77.7164739990234,30.3487999694824,,,,,,,,,,
,9.60000038146973,4.72189761479949,9.70423522880553,18.7455696749878,1.46082675457001,1.13567549857378,2.79500389099121,2.09751064222527,2.91350865364075,0.841524547413335,1.3492751121521,1.72152471968865,56.942350189209,17.153617364502,37.4616636779785,62.728534954834,47.1118380004883,,,,,,,,,,
,9.60000038146973,5.4447556279871,9.67634653542367,20.0135702617786,1.46082675457001,1.27398457638705,2.79500389099121,2.104426141307,2.91350865364075,0.846684986456928,1.3492751121521,1.85976125670579,62.9063032351363,12.38299266218,34.6406426810609,56.8029434155351,52.9939864831991,,,,,,,,,,
,9.60000038146973,5.29887197901917,10.0763167445526,18.6994143424835,1.46082675457001,1.71956430197143,2.79500389099121,1.5953112755599,2.91350865364075,2.04629245911263,1.3492751121521,1.2606759963373,58.5850529602051,16.9795283180237,49.1148375030518,60.9727219604492,48.6129761108398,,,,,,,,,,
,9.60000038146973,5.67214171958577,9.89301756467788,19.4703647622486,1.46082675457001,1.52008789268648,2.79500389099121,1.75959099595287,2.91350865364075,1.1850103850449,1.3492751121521,1.44575060277703,60.9208684058706,26.4689611507829,50.972021607077,58.789333228093,51.1078737465439,,,,,,,,,,
,9.60000038146973,5.79544628687502,9.92116374226284,19.7360577149798,1.46082675457001,1.83939440534451,2.79500389099121,1.82157380522829,2.91350865364075,0.870899583133785,1.3492751121521,1.66302376173712,60.4977011152485,16.2111628166554,50.5160322296485,59.502302821911,50.2859103415598,,,,,,,,,,
,9.60000038146973,5.70055312355233,9.72141632175134,19.4316912675441,1.46082675457001,1.47081375844321,2.79500389099121,2.91223986789585,2.91350865364075,0.69489359426631,1.3492751121521,2.47895448132296,76.0533293083166,12.9372162420267,41.0066621050574,43.9466717465514,65.7927843995416,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.80000019073486,5.23974108036803,8.79524872241695,16.7508477775134,1.90427672863007,1.0156340947427,3.54090929031372,3.50539522981482,0.706707179546356,0.567383830379919,2.05388188362122,1.80901969448161,48.8577379849558,53.7021418473039,40.2352160536093,34.9437773651278,49.8243166734724,,,,,,,,,,
,9.80000019073486,5.0982676478508,8.31142422753158,16.3772491324067,1.90427672863007,0.804950942778925,3.54090929031372,4.41324649803967,0.706707179546356,0.490195892998319,2.05388188362122,2.28106914829125,54.1430624181574,55.6753028330177,36.7766305300523,27.0853914138845,65.3560680042614,,,,,,,,,,
,9.80000019073486,5.15153280145982,8.80380672520556,16.1868957990917,1.90427672863007,0.790308395130791,3.54090929031372,3.89588266835893,0.706707179546356,0.464850474803642,2.05388188362122,2.28472226246465,72.4714641410764,37.3151064319771,33.6792916209758,32.1922424412575,77.5912829230813,,,,,,,,,,
,9.80000019073486,5.19635642100831,8.36425340938416,15.82209636068,1.90427672863007,0.739613607587742,3.54090929031372,3.76454519334072,0.706707179546356,0.513294804565662,2.05388188362122,2.17848170035897,79.2460936340126,30.7375575787312,39.4217280052804,29.2993553748002,80.6139306248845,,,,,,,,,,
,9.80000019073486,5.24672910538006,8.99283445697971,16.1134113898482,1.90427672863007,1.08549821848654,3.54090929031372,4.20623649543742,0.706707179546356,0.514199218538696,2.05388188362122,2.09389319832608,77.7267235210508,32.2732794101422,47.6888146225027,26.6913701826115,83.261139630474,,,,,,,,,,
,9.80000019073486,5.846424731371,8.02074751525427,15.4945033819297,1.90427672863007,0.840154642802612,3.54090929031372,3.12340095036005,0.706707179546356,0.63681799158853,2.05388188362122,1.74245384070985,68.3495939184591,41.6465538943492,66.8046611734856,34.3182092239227,75.6814191429113,,,,,,,,,,
,9.80000019073486,5.82537734734427,8.47580374374008,16.1267022599058,1.90427672863007,0.958728512735331,3.54090929031372,2.96779173213011,0.706707179546356,0.625831278667437,2.05388188362122,1.77057243114801,74.7051045116031,35.1050719601652,64.6654927210154,35.1993551883601,74.7653910448103,,,,,,,,,,
,9.80000019073486,6.46620874959611,8.0077104314008,16.2714478230073,1.90427672863007,0.891334787306156,3.54090929031372,3.18528188118428,0.706707179546356,0.517262973967528,2.05388188362122,1.98918394880263,89.0641971678044,20.801864694666,47.4306226402822,27.2105541357689,82.7524536466759,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.5,5.10730844462809,7.20720508495084,16.4283910478127,0.754828333854675,0.575071420183436,9.07467174530029,9.1361045874549,0.427305668592453,0.410669134484283,3.38199281692505,3.27538621761461,56.3993717672715,50.3583448194737,51.6249729271723,40.4044527924118,61.4866405238408,,,,,,,,,,
,9.5,4.69771787830087,7.58721870881819,15.7651853958286,0.754828333854675,0.679295584524967,9.07467174530029,7.47832501992185,0.427305668592453,0.403234372826889,3.38199281692505,2.68246378930548,56.1436673450017,53.5676023903437,45.9614528045412,34.1084792202135,67.002879975526,,,,,,,,,,
,9.5,4.99130329059011,7.10340916376733,15.839475478026,0.754828333854675,0.63832167510691,9.07467174530029,7.5241856572602,0.427305668592453,0.419335923023512,3.38199281692505,2.49304167649569,52.0676754654678,57.9242866479955,42.8827848449514,26.1321360541369,76.8663069497541,,,,,,,,,,
,9.5,4.92080980061351,7.11610142469785,16.915258301162,0.754828333854675,0.771661567603921,9.07467174530029,9.04183713789036,0.427305668592453,0.384649315134118,3.38199281692505,3.31523317841266,58.9214448943947,51.0785570764315,34.1207463707297,18.4585525811947,83.3359714151373,,,,,,,,,,
,9.5,4.59940603080707,7.69013115476093,16.05712954595,0.754828333854675,0.814916299221832,9.07467174530029,7.583640251284,0.427305668592453,0.440848516706985,3.38199281692505,2.40385657240805,56.3298030268713,53.6701991908358,46.4412615506382,17.572190897913,50.3933149581837,,,,,,,,,,
,9.5,4.52734597313837,7.29888942249959,16.7927804725429,0.754828333854675,0.760519460614357,9.07467174530029,8.13815450512406,0.427305668592453,0.412272023673731,3.38199281692505,2.59052595187514,57.9414503209022,52.058551866673,43.8749435479042,19.3464703642738,44.6625955048331,,,,,,,,,,
,9.5,4.56737754130251,7.50144075506672,17.0218925775735,0.754828333854675,0.742676777483261,9.07467174530029,9.65685997581409,0.427305668592453,0.400989406229385,3.38199281692505,2.85088464323943,57.1075154405446,52.8924881270711,21.1147629187853,12.9857113826648,58.3432722588851,,,,,,,,,,
,9.5,4.99273146393551,7.46928749496526,16.7351453195213,0.754828333854675,0.85756230748331,9.07467174530029,8.1659575821589,0.427305668592453,0.383884918786715,3.38199281692505,2.83245139605626,56.8704256054726,53.1295777512199,53.6213294265771,35.9785041357104,68.3398676445887,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-008,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.1000003814697,4.51715106504709,7.50225437923155,16.6853879704499,1.30739450454712,0.543843353196435,5.75942325592041,5.60831921083182,0.824673771858215,0.66886594246652,2.70349264144897,1.58336345882693,41.4890682481241,61.8285920366005,48.6404719875803,37.8508744474814,41.4890682481241,,,,,,,,,,
,10.1000003814697,4.72880731635791,7.06814649502942,17.5312628647781,1.30739450454712,0.447676675071953,5.75942325592041,4.37105458119114,0.824673771858215,0.791942739667973,2.70349264144897,1.46627072020037,39.6412821059014,64.0584991357888,54.138874983332,37.1020445550323,39.6412821059014,,,,,,,,,,
,10.1000003814697,4.58535725922106,8.08903667290242,17.253488116409,1.30739450454712,0.6142419266677,5.75942325592041,3.29440566392227,0.824673771858215,0.819753963953472,2.70349264144897,1.29659466241061,38.7936515443063,62.6503129925644,63.9226704221783,51.6454509570838,38.7936515443063,,,,,,,,,,
