BEFORE,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
ID-004,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.6000003814697,4.84394308189049,7.09491297272186,15.9724145965485,0.396696627140045,0.269589660562385,13.6501350402832,8.021824568329,0.834419548511505,0.490736343510496,4.19389581680298,2.67968085883633,46.4734546081929,59.9633154688002,44.0764485009109,38.8251148718822,49.9670626724823,,,,,,,,,,
,10.6000003814697,4.95664188412215,7.42761332246655,15.4920110940857,0.396696627140045,0.374636985970727,13.6501350402832,7.49047820082372,0.834419548511505,0.489399871448093,4.19389581680298,2.65462987786899,47.2819118409074,60.3855167153142,39.5828656591062,35.4247424644071,49.9078767719057,,,,,,,,,,
,10.6000003814697,4.84991927928562,7.03332436879981,15.2060569805284,0.396696627140045,0.291929793644671,13.6501350402832,9.71766673296318,0.834419548511505,0.37906465798805,4.19389581680298,3.13829178860009,45.1071563310261,64.8907709061345,34.87232079687,31.4748589600189,60.53578670719,,,,,,,,,,
,10.6000003814697,4.77232116362716,7.00813448796545,15.7352816166152,0.396696627140045,0.28314594275424,13.6501350402832,10.2378330774625,0.834419548511505,0.495376940209278,4.19389581680298,3.11267706159454,38.0252029262012,71.4863036795507,37.8882822477365,26.8170514559444,74.3144147848781,,,,,,,,,,
,10.6000003814697,4.91370795411911,7.0,15.4712889170116,0.396696627140045,0.40426005078308,13.6501350402832,8.17562546634678,0.834419548511505,0.551688963254294,4.19389581680298,2.608140740475,39.0747066921658,69.2287028236995,46.6232028718979,34.4521078018915,74.5103128947909,,,,,,,,,,
,10.6000003814697,4.7432547473153,7.01810918050478,15.544811713454,0.396696627140045,0.274139247308425,13.6501350402832,11.2272826423921,0.834419548511505,0.316408677042663,4.19389581680298,3.49485481130547,39.3772146490556,70.6098511128486,30.4404937738105,14.4108748066274,93.9226881341089,,,,,,,,,,
,10.6000003814697,4.84787936722287,7.01689047533369,15.5635793822302,0.396696627140045,0.329314322751664,13.6501350402832,9.94524679361831,0.834419548511505,0.456459810814688,4.19389581680298,3.07517855724266,40.626518836854,69.1846326676626,32.1309299590096,18.0724263107966,84.8911916702513,,,,,,,,,,
,10.6000003814697,4.87506325678735,7.07806644935394,16.2784999986991,0.396696627140045,0.31707016213903,13.6501350402832,10.3118686553327,0.834419548511505,0.47187932347596,4.19389581680298,3.24489344725219,40.0880083434189,69.889873275274,30.8227181072477,18.4419845855689,89.2873187970512,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-005,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.69999980926514,5.16937076433985,8.06890134460257,17.1143860245562,3.29052045718342,2.33743716904906,2.65352308506868,1.9065597705249,0.499193873940682,0.514298249383767,1.05099792788629,0.780584509804541,55.0055507218757,53.028550290737,42.1508766355969,41.6935872382858,63.5896282715051,,,,,,,,,,
,7.69999980926514,5.38466999950189,7.41514519140661,16.1315512342737,5.4349045753479,3.86350118228508,4.38278532028198,4.08042691278181,0.824511229991913,0.681247512459655,1.73591792583466,1.78020746903254,60.9331574203944,48.0614244756919,50.9563034107976,44.639437861175,64.3697163673124,,,,,,,,,,
,7.69999980926514,5.35187130438612,7.89391749883244,17.0108598043738,5.4349045753479,5.37234340940962,4.38278532028198,3.74599597962971,0.824511229991913,0.656353916164379,1.73591792583466,1.90868667066196,66.3782259245517,43.0290758239948,56.8598764249594,42.6787280910479,67.2268766208057,,,,,,,,,,
,7.69999980926514,5.35283745805618,7.31116090626549,17.1486977201378,5.4349045753479,3.82451902001363,4.38278532028198,3.21545222515347,0.824511229991913,0.617195295225127,1.73591792583466,1.66578684789501,80.2396020372513,29.7603965001349,42.5159756640104,24.1932758149647,85.8067208526561,,,,,,,,,,
,7.69999980926514,5.14787330781286,7.5134138219179,16.6365641792079,5.4349045753479,4.04454183578492,4.38278532028198,2.7606406211853,0.824511229991913,0.647663116455078,1.73591792583466,1.5440126657486,80.2865753173828,29.7134227752686,42.5490913391113,24.1924934387207,85.807502746582,,,,,,,,,,
,7.69999980926514,5.63807396988909,7.67395128553051,15.9333865484511,5.4349045753479,4.04454183578492,4.38278532028198,2.7606406211853,0.824511229991913,0.647663116455078,1.73591792583466,1.5440126657486,80.2865753173828,29.7134227752686,42.5490913391113,24.1924934387207,85.807502746582,,,,,,,,,,
,7.69999980926514,5.35830704640223,7.88573328349411,17.9892366462267,5.4349045753479,6.03911478739458,4.38278532028198,2.65734300985332,0.824511229991913,0.737334252107864,1.73591792583466,1.4593533282282,78.2047493697813,30.1298628013406,44.7831494952208,26.3618205697744,83.6381776412861,,,,,,,,,,
,7.69999980926514,4.96002500300814,7.52479634248349,16.0936694822805,5.4349045753479,23.2526343875258,4.38278532028198,2.52584679565464,0.824511229991913,0.993507720152905,1.73591792583466,1.04771267282794,73.7021723318976,31.846870677101,50.9599184536178,31.344429127561,78.6555749577951,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12.6999998092651,5.07941708722106,8.93720089354101,15.9879865578951,0.105472527444363,0.0563096249212437,2.43981504440308,1.4274363815485,1.25006830692291,1.49100504976422,1.05438590049744,0.689419451816204,31.3879906001003,43.4417125759412,92.3609624763629,62.0098533183087,31.3303338023686,,,,,,,,,,
,12.6999998092651,5.26245194248566,10.1019188808148,16.3345649273118,0.105472527444363,0.0695427605625352,2.43981504440308,1.29940141992766,1.25006830692291,1.61034487206961,1.05438590049744,0.660595547736804,34.7575720100338,48.4720040847238,92.5234320449186,72.0275577525867,32.6854441708698,,,,,,,,,,
,12.6999998092651,5.35801006860956,10.6438644502394,15.8269046594148,0.105472527444363,0.0706786933704517,2.43981504440308,1.1499313557148,1.25006830692291,1.52719897138734,1.05438590049744,0.728767126511078,38.1251343181699,37.90898372816,69.6721547423398,81.8261062596554,28.0714657697391,,,,,,,,,,
,12.6999998092651,5.35274916080937,8.56959295105691,17.4209668775097,0.105472527444363,0.0502126102184143,2.43981504440308,1.54057121670326,1.25006830692291,1.62287370604535,1.05438590049744,0.667710086614692,43.361590914552,55.976885640344,71.3823945054976,70.8303580553429,36.1530886361765,,,,,,,,,,
,12.6999998092651,5.12410606316846,9.06035848533262,16.518550564705,0.105472527444363,0.0664230846202236,2.43981504440308,1.06721153891448,1.25006830692291,2.03819347923152,1.05438590049744,0.542205196640614,31.7768952372901,69.92791268962,93.1278927607167,86.5052559207184,23.4055787674104,,,,,,,,,,
,12.6999998092651,5.08374035312104,10.1551908509975,15.9717421104681,0.105472527444363,0.0654616403815899,2.43981504440308,1.32970186408141,1.25006830692291,1.46492619754781,1.05438590049744,0.707586662757344,46.4264729050935,61.1989851013899,76.2630800026745,72.5717791712264,37.2849817994851,,,,,,,,,,
,12.6999998092651,4.80364862399327,9.34878882975184,16.3701976574112,0.105472527444363,0.049832257629385,2.43981504440308,1.06152943482975,1.25006830692291,1.74596149303523,1.05438590049744,0.632730997644775,50.4321399057234,47.1232903003693,85.6316590051393,69.4438871499654,40.3828063913294,,,,,,,,,,
,12.6999998092651,5.20162231135884,10.2095806627384,17.2678851828838,0.105472527444363,0.0554591894372928,2.43981504440308,1.26128619385341,1.25006830692291,1.38042737485466,1.05438590049744,0.855258236087606,63.3446751624693,36.779697535637,84.6506761370007,56.655327966725,53.0881190054032,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-011,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.5,4.78293127949711,7.84999163750627,15.8604807692036,1.33936989307404,1.09831702969682,9.7415189743042,7.6804305840976,1.81870424747467,0.926051074352302,0.549890398979187,2.03101755095087,74.5063222888327,25.6525095553963,29.2316593056049,23.8454531489105,64.1729918372891,,,,,,,,,,
,9.5,5.31583358627741,8.95855789442048,17.5190244470411,1.33936989307404,0.997536845259239,9.7415189743042,4.97896469815907,1.81870424747467,0.431361824619373,0.549890398979187,2.88541480480749,93.4756208982981,3.01954607118444,7.01290755086164,19.1073816993303,88.1603162183653,,,,,,,,,,
,9.5,4.71836556411959,8.79679838664413,16.5440688519241,1.33936989307404,1.08841306595236,9.7415189743042,6.70107060843997,1.81870424747467,0.615303129067193,0.549890398979187,2.83643627067081,84.6418391743644,15.3850122029664,21.5427927111016,12.5409224158516,91.5505911530041,,,,,,,,,,
